id,name,url,comment,muscle_group
41,С гантелью с упором плеча в скамью,https://cloud.mail.ru/public/hgff/KQPyg3Lk5,Оборудование: Гантели | Статус: 🏋️,2
42,Сгибание рук со  штангой параллельным хватом стоя,https://cloud.mail.ru/public/WZoX/vfxZT4HvA,Оборудование: Штанга | Статус: 🏋️,2
43,Сгибание рук со штангой  ez-гриф прямым хватом стоя,https://cloud.mail.ru/public/xEJt/dJQ9Ehcmi,Оборудование: Штанга EZ | Статус: 🏋️,2
44,Сгибания Зотмана,https://cloud.mail.ru/public/G4g6/PdVzKjFjz,Оборудование: Гантели | Статус: 🏠,2
45,"""""Молоты""""",https://cloud.mail.ru/public/oRQp/k1ULwPZb2,Оборудование: Гантели | Статус: 🏠,2
46,"""""Молоты"""" к противоположному плечу",https://cloud.mail.ru/public/7fHb/a31YKYbhh,Оборудование: Гантели | Статус: 🏠,2
47,Сгибание по одной руке с нижнего блока нейтральным хватом,https://cloud.mail.ru/public/HS14/hZ5HjzERJ,Оборудование: Кроссовер | Статус: 🏠,2
48,Сгибание рук лежа наклонной скамье с верхнего блока с канатной р.,https://cloud.mail.ru/public/h6VE/N4BmSNXS2,Оборудование: Кроссовер | Статус: 🏋️,2
49,"""""Молоты"""" концентрированные (с упором плеча  в бедро)",https://cloud.mail.ru/public/1feb/jj1QCobZE,Оборудование: Гантели | Статус: 🏠,2
50,Сгибание рук в скамье Скотта EZ-гриф прямой хват,https://cloud.mail.ru/public/4h9P/JoTRmNGu6,Оборудование: Штанга EZ | Статус: 🏋️,2
51,Паучьи сгибания на брахиалис с канатной рукоятью,https://cloud.mail.ru/public/hHyA/prwkgyZ2o,Оборудование: Кроссовер | Статус: 🏋️,2
52,Колодец,https://drive.google.com/file/d/1pY23t9CEcdhaWYZreV15ltCLJVacJIBu/view?usp=sharing,"Оборудование: """"Колодец"""" | Статус: 📹",3
53,Разгибание запястий в блоке с согнутыми в локте руками,https://drive.google.com/file/d/1OaSxs3u3SJX-w8Gm0q_4gpT5DsJE9nYC/view?usp=sharing,Оборудование: Кроссовер | Статус: 📹,3
